ItemCount:43
8.779,4.1,7.079
9.73,4.724,9.4
12.24,3.991,8.102
11.54,3.41,11.28
10.04,3.41,12.79
7.551,2.927,10.835
7.2,4.139,7.964
5.193,0.824,5.629
7.609,1.663,3.788
21.57,3.403,3.317
26.76,1.31,5.77
26.29,0.63,14.23
23.55,1.27,25.28
5.893,0.357,23.519
8.501,2.233,23.019
7.951,1.77,20.408
9.249,1.908,23.66
11.102,1.659,22.95
14.885,2.931,23.255
13.072,1.325,21.946
20.4,2.16,21.1
19.19,1.92,20.3
21.68,3.256,19.77
23.207,2.839,19.549
22.737,2.87,21.318
22.579,4.508,23.234
21.356,3.584,23.413
23.984,3.541,12.591
24.535,3.411,10.283
25.372,2.821,9.16
23.921,3.257,7.673
22.52,4.302,4.7
22.071,4.376,5.916
20.061,4.028,5.337
17.61,3.707,4.93
20.04,3.5,6.73
22.61,4.349,10.695
20.47,3.398,8.58
16.33,2.35,9.93
18.39,1.21,13.28
19.75,1.31,16.33
16.845,0.211,18.776
11.56,0.252,17.8
PlayerCount:4
5.381,0.193,18.745
17.53,0.28,25.32
25.38,0.4,18.84
13.95,0.69,4.28
