ItemCount:143
149.58,35.55,251.37
162.7,34.3,255
179.4,35.5,236.4
200.84,35.42,230.63
188.35,34.55,226.29
159.09,33.69,235.35
157.5,32,220.9
115.49,20.41,221.46
115.6,17.4,236.1
105.84,21.9,241.93
115.08,16.64,251.72
120.56,18.86,212.25
124.02,25.28,191.09
116.52,28.74,193.36
109.57,26.72,197.59
122.7,32.13,170.6
107.97,42.82,127.09
118.02,33.54,107.78
111.5,35.5,108.77
112.63,38.91,92.74
129.21,43.91,113.6
147.71,40.35,120.48
154.6,44.64,100.1
171.13,42.33,108.4
167.53,39.29,121.99
189.56,37.09,127.46
206,35.74,115.5
216.99,39.36,105.8
227.8,38.29,125.65
224.71,39.69,133.3
195.7,34.85,146.6
156.61,44.15,157.39
157.24,39.69,182.42
182.8,32.8,168.9
177.53,32.3,203.94
196.57,31.97,186.57
235.7,28.55,160.1
216.8,34.4,204.2
208.1,35.54,217.9
147.28,28.99,287.34
152.91,34.19,265.32
165.26,21.5,290.85
234.46,22.82,300.52
227.05,22.5,305.34
212.4,12.62,308.94
114,16.69,344.32
124.82,17.49,338.3
135.55,17.12,343.93
114.91,10.5,366.72
130.88,20.52,387.15
140.71,22.43,384.12
167.9,20.53,395.18
172.31,17.42,343.61
172.89,13.65,356.07
148.2,10.78,353.5
185.76,15.69,387.36
175.1,11.68,367.26
207.34,17.56,385.5
236.73,24.94,390.79
247.6,26.63,390.49
237.14,12.14,368.57
216.27,12.55,367.56
195.7,12,355.8
375.69,43.59,385.79
355.81,35.53,386.22
349.41,33.83,378.77
385.55,36.31,373.62
385.41,25.25,355.99
387.22,25.74,330.76
375.46,29.23,310.76
361.65,29.9,308.62
363.94,29.47,324.68
351.94,31.88,331.52
362.49,32.75,338.82
378.5,27.27,334.01
376.58,28.14,344.89
371.67,33.11,368.26
349.34,26.83,355.26
310.4,12.6,365.8
330.5,20.56,344.8
412.79,21.66,271.84
408.37,22.72,258.65
408.49,36.2,220.12
418.42,33.73,187.48
428.35,30.19,170.54
418.42,32.99,166.33
407,33.32,171.19
415.97,31,156.94
427.93,29.37,159.66
427.63,30.62,140.46
421.17,31.68,143.04
419.89,33.45,131.77
416.53,33.45,134.18
408.21,43.97,88.39
423.77,31.83,71.57
408.28,34.07,57.54
398.3,38.25,60.77
386.31,40.28,63.71
378.06,41.05,70.47
362.17,32.42,49.63
395.36,44.82,110.05
390.88,44.78,98.05
365.42,47.18,103.8
359.56,46.41,110.54
329.22,40.47,81.33
340.16,37.07,91.95
314.98,38.49,106.58
304.78,37.91,77.24
273.65,33.87,79.12
290.49,34.55,94.26
286.53,33.44,85.77
283.55,32.27,65.76
305.89,34.41,89.03
348.77,32.8,137.19
363.22,42.54,120.58
373.86,40.1,125
365.94,42.87,113.88
380.76,41.07,169.75
366.84,42.74,182.66
369.25,41.07,191.91
385.4,36.31,205.41
401.57,34.87,192.89
397.15,34.91,154.88
378.48,39.14,159.03
401.08,29.38,131.35
294.1,12.52,341.44
272.95,7.3,332.85
275.34,2.3,355.76
155.8,2.1,318.6
260.2,14.6,112.8
376.65,9.1,284.22
432.78,5.34,213.42
434.88,4.35,221.75
448.72,7.36,119.97
435.74,6.22,88.94
245.57,1.19,64.65
294.2,9.2,238.1
305.9,10.13,224.2
318.2,10.99,248
287.01,2.07,272.15
246.06,1.35,265.71
218.18,1.69,273.87
261.1,6.8,279.6
PlayerCount:11
96.93,3.96,65.55
195.95,8.24,72.28
324.21,14.1,49.77
437.53,4.98,259.9
435.43,7.13,358.89
397.5,10.9,420.49
313.77,4.11,428.37
183.03,5.36,418.64
99.9,0.28,398.5
82.46,2.24,248.1
86.21,14.59,157.84
